comment,sentiment
"غياب السيارات الصينية يعني أن عصابات رأس المال المرتبطة بالغرب لازالت تسيطر على السوق التونسية",negative
"ههههههه السيارات الصينية بقداش و لا ترامب يعطيكم طريحة ",neutral
"بالله العمر متاع السيارة مفتوح والا اقل من  سنوات القانون هذا متاع  ،والمعاليم مزلت مش مفهومة النسبة على السعر الي شريت بيه من اوروبا  شكرا",neutral
"لازم أقل من  سنوات",neutral
"مشكور أما  سنين كراهب غالين ناار هكاوإن شاء الله تجربلنا سيارة كهربائية عادية من تونس لطبرقة عين دراهم مثلا فيديو كامل ووين تتوقف بش تشرجي مثلا رينو كهربائية تجربها في الجبال المنعرجات وطريق سيارة متوسط كيما تونس واد زرقة وشكرا هذا بش يشجع جيبانها ",positive
"يوجد خلل في إشتعال السيارات الكهربائية أاثناء الشحتن",negative
"هايل برشا ناقص فكرة على الأسعار؟",positive
"بربي قداش عمر السيارة الكهربائية الاقصى المسموح بتوريدها لتونس",positive
"نجم نهبطوا معايا الشارجور متاعها من برا ؟",positive
"معناها نقعد نساناها تلاثة سوايع باش تتشرجى سماح",negative
"شكون يفهمني في  اكثر مثال عندي  شريت سيارة من فرنسا كيفاش نوع السيارة وعمرها وقداش تدفع الديوانه ولا حسب قوة السيارة او سعرها",positive
"سوال اذا حبيت نجيب كرهباء موديل جديد مثلا سومها خمسة الف يورو قداش تخلص ديوانية جمارك ؟؟؟",positive
"هذا البلد لا نستطيع الحديث فيه عن اي مشروع بلد قتل الطموح ورغبة العمل و الحلمعليكم بالهجرة فانها اكرم لكم",negative
"هل ممكن ندخل سيارة أقل من سنة منليبيا الى تونس؟",positive
"انا كان نلقى نبيع إلي ورايا و إلي قدامي على   ",positive
"ربي يرزق الجميع",positive
"سلام عليكم بلاهي كان ممكن تعطينا قداش يخلص بالفلوس موش بالنسبة يعني تقريبا و كان فما شكون خلص قداش و شنية نوعية الكرهبة",neutral
"قصدي تعرفش واحد جاب سيارة و قالك قداش خلص مع ذكر نوعية السيارة على خاطر في تونس ساعات نسبة   فلوس برشا يعني باش الواحد يعرف اش يشري",neutral
"السلامقداش خلصت كرهبتو، باش نعرفوا تقريب قيمة ",neutral
"المفروض  و  لكن هو لحد الآن مزال متمش العملية نظرا للبيرقراطية متاع الإدارة",negative
"ثم شكون إصلحهم في تونس",neutral
"بالعكس تحتاج لكن مش كيف السيارات المش كهربائية التي تعمل بالبنزين و الديزل",positive
"حاجتي نحب نشري كرهبة صغيرة و نحب نعرف كيفاه و بشكون نتصل ",positive
" عسلامة الناس الكل  تحديث صغير سوف يقع إصدار قرارات و قوانين جدد بخصوص اقتناء السيارات الكهربائية للمواطن التونسي المقيم في البلد الأم او بلد آخر بداية سنة لذلك نحن بصدد متابعة آخر القوانين و أي تحديث جديد ننزله على مجموعتنا في الفايسبوك السيارات الكهربائية في تونس     شكرا على تفهمكم ",positive
"باللهي بش نسئلك المعالم الديوانية انتع الكرهبة إلي جبها السيد كانت في حدود قداش شكراً",neutral
"قانون ال لا يشمل السيارات الكهربائية لحد الآن",neutral
"لحد الآن ماتنجمش بال الا واحد عايش البرا و عندو على الأقل سنة مجاش لتونس بصفة متواصلة ممكن يتغير في بداية العام القادم خاصة و إنو الدولة بدات تشجع",positive
"السلام عليكم اولا الهدف من الفيديو كان مقتصر فقط على الحديث على كيفية شراء سيارة كهربائية في تونس  كيفاه و وين تتشرجىلكن أكدت في كلامي انو التحول الكامل للسيارات الكهربائية جايينو لا محالة و هذا أكيد على المدى البعيد المصنعين يعرفوا اللي تكلفة تبديل البطارية مكلف جدا و قاعدين يخدموا عليه و نتصور بعد  سنوات بش تكون التكلفة أقل ببرشى حتى بالنسبة للأسعار تاع السيارت الكهربائية قاعدين يرخصوا تدريجياوقتلي ينتشروا السيارت الكهربائية بصفة كبيرة تكثر المنافسة و هكاكا إعادة البيع متكونش بخسارة كبيرة خاصة و إنو كل مصنع تقريبا يعطي  سنوات ضمان على ال بالنسبة لتونس فإنوا المرحلة هاذي مزلنا بعاد عليها برشى اما لازم نخدموا عليها بش منكونوش متأخرين مقارنة حتى بدول أخرى إفريقية",positive
"اذا تاخذها من عند وكيل في تونس فإنه مسؤول على الصيانة حتى بعد سنين ولا تجيبها من البرا اما عندها وكيل في تونس فممكن تصلحها اما اذا جبت  معندوش وكيل  في تونس ممكن تلقى صعوبة كبيرة",neutral
"مسألة انها تنجح او لا مرتبطة بمجهودات الدولة و الوكلاء و المواطنالدولة لازم تاخذ الموضوع بجدية أكثر و تعمل قوانين يشجعوا أكثر على شراء سيارات كهربائية من ناحية السعر، محطات الشحن و امتيازات و علاش لا يوليوا يتركبو في تونس  من ناحية الوكلاء لازم يدرسوا السوق مليح و يبذلوا مجهود و يكثروا من السيارات الهجينة هكاكا يحضروا المستهلك للانتقال لل  و الطلب يزيد و الحكاية عرض و طلب بين الوكلاء و المستهلك كي يوصلوا ل  مرحلة معادش يبيعوا  كيما العادة و الطلب ينقص يوليوا يضغطوا على الدولة و يجيبوا السيارات الكهربائية الموضوع ممكن أعمق من هكا لانو فما بنية تحنية تحكم و تطور يحبلوا سنين في تونس بش يصير",neutral
"ان شاء الله يتوفرو اكثر في تونس الناس الكل تستنى فيهم فدو مالايسونس والمازوط",positive
"شكرا على اقتراحك الهدف توا اننا نركزوا أكثر على السيارات الكهربائية و القادم أفضل بإذن الله",positive
"الحكاية مش حاجة تبدا و لخرى توفى السيارات الكهربائية بداو بالشوية بالشوية ينتشروا في العالم الكل اما اللي لازم تفهموا انهم على المدى البعيدبعد  سنة على الأقل بش يعوضوا السيارات ال بنسبة  بالنسبة لكراهب  قاعد ينقص الانتاج تاعهم و هذا اللي بش يخلي القطايع تنقص  الإقبال ينقص و البترول يغلى  بصفة غير مباشرة بش ننتقلوا للسيارات الصديقة للبيئة بالنسبة للوضع في تونس  توا بدينا نشوفوا أكثر سيارات  يعني  و فيها محرك كهربائي  بطاريةو الدولة بدات تهتم بالتحول هذا و فما شوية تسهيلات و تخفيضات و القادم أفضل بإذن الله",positive
